"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"2:49","Malcolm Dandridge makes two point layup",169,"Made Two","makes","Malcolm Dandridge",28,31,"Cavs","vsMEM",56
1,"2:49","Malcolm Dandridge personal foul",169,"Foul","personal foul","Malcolm Dandridge",28,31,"Cavs","vsMEM",56
1,"2:34","Tigers lineup change (David Jones, Caleb Mills, Jaykwon Walton, Jahvon Quinerly, Nicholas Jourdain)",154,"Opp Sub"," ","Tigers",28,31,"Cavs","vsMEM",56
1,"2:32","Reece Beekman misses two point jump shot",152,"Missed Two","misses","Reece Beekman",28,31,"Cavs","vsMEM",56
1,"2:26","Leon Bond III offensive rebound",146,"Off Rebound","offensive rebound","Leon Bond III",28,31,"Cavs","vsMEM",56
1,"2:12","Leon Bond III makes two point layup",132,"Made Two","makes","Leon Bond III",30,31,"Opp","vsMEM",57
1,"2:12","Reece Beekman shooting foul (David Jones draws the foul)",132,"Foul","shooting foul","Reece Beekman",30,31,"Opp","vsMEM",57
1,"2:12","David Jones makes regular free throw 1 of 2",132,"Made FT","makes","David Jones",30,32,"Opp","vsMEM",57
1,"1:56","David Jones makes regular free throw 2 of 2",116,"Made FT","makes","David Jones",30,33,"Cavs","vsMEM",58
1,"1:56","Jump ball. Reece Beekman vs. Jahvon Quinerly (Reece Beekman gains possession)",116,"Jump Ball"," ","Jump",30,33,"Cavs","vsMEM",58
1,"1:48","Cavaliers lineup change (Reece Beekman, Taine Murray, Isaac McKneely, Ryan Dunn, Leon Bond III)",108,"Cav Sub"," ","Cavaliers",30,33,"Cavs","vsMEM",58
1,"1:46","Caleb Mills blocks Taine Murray's three point jump shot",106,"Block","block","Caleb Mills",30,33,"Cavs","vsMEM",58
1,"1:34","Tigers defensive rebound",94,"Def Rebound","defensive rebound","Tigers",30,33,"Opp","vsMEM",59
1,"1:32","Jahvon Quinerly misses two point layup",92,"Missed Two","misses","Jahvon Quinerly",30,33,"Opp","vsMEM",59
1,"1:27","Tigers offensive rebound",87,"Off Rebound","offensive rebound","Tigers",30,33,"Opp","vsMEM",59
